"Data Source:","http://breachlevelindex.com/#!breach-database","Retrieved February 23, 2015",,,,,,
86,"AHMC Anaheim Regional Medical Center LP",10/21/13,729000,"United States","Healthcare","Malicious Outsider","Identity Theft",7.8
87,"Advocate Health Care",07/18/13,4000000,"United States","Healthcare","Malicious Outsider","Identity Theft",7.8
88,"Facebook",06/02/13,6000000,"United States","Technology","Accidental Loss","Account Access",7.8
89,"MTV Taiwan",03/17/13,1107286,"Taiwan","Other","Malicious Outsider","Financial Access",7.8
90,"Yandex, Mail.Ru",09/04/14,1200000,"Russia","Technology","Malicious Outsider","Account Access",7.7
91,"University of Maryland",02/19/14,287580,"United States","Education","Malicious Outsider","Identity Theft",7.7
92,"Maricopa County Community College District",02/19/14,309079,"United States","Education","Malicious Outsider","Identity Theft",7.7
93,"North Dakota University",02/07/14,290780,"United States","Education","Malicious Outsider","Identity Theft",7.7
94,"Iranian bank",11/01/13,3000000,"Iran","Financial","Accidental Loss","Financial Access",7.7
95,"Children's Healthcare of Atlanta",10/30/13,346000,"United States","Healthcare","Malicious Insider","Existential Data",7.7
96,"Pantagon",03/13/13,500000,"United States","Government","Malicious Outsider","Existential Data",7.7
97,"Metro International website",07/22/14,1000000,"United States","Government","Malicious Outsider","Nuisance",7.6
98,"Paytime Inc",04/30/14,233000,"United States","Financial","Malicious Outsider","Identity Theft",7.6
99,"Affinity Gaming",04/28/14,300000,"United States","Other","Malicious Outsider","Financial Access",7.6
100,"Fandango and Credit Karma",03/28/14,2000000,"United States","Technology","Accidental Loss","Identity Theft",7.6
101,"NongHyup Life Insurance Co,NongHyup Financial Group Inc",01/05/14,350000,"South Korea","Financial","Malicious Insider","Identity Theft",7.6
102,"Truecaller",06/24/13,1000000,"Sweden","Other","Malicious Outsider","Account Access",7.6
103,"Drupal.org",05/06/13,1000000,"United States","Technology","Malicious Outsider","Account Access",7.6
104,"Cascade Medical Center",04/26/13,1000000,"United States","Healthcare","Malicious Outsider","Nuisance",7.6
105,"Affinity Gaming",03/14/13,300000,"United States","Financial","Malicious Outsider","Financial Access",7.6
106,"Manga Traders",06/08/14,855000,"Unknown","Technology","Malicious Outsider","Account Access",7.5
107,"Butler University",05/29/14,200000,"United States","Education","Malicious Outsider","Identity Theft",7.5
108,"AVAST Software",05/26/14,400000,"United States","Technology","Malicious Outsider","Account Access",7.5
109,"National Geospatial-Intelligence Agency and the U.S. Navy to sites for Harvard University, the World Health Organization, and Kawasaki",05/14/14,220000,"United States","Government","Malicious Outsider","Identity Theft",7.5
110,"Vittel",04/08/14,197000,"Vietnam","Retail","Malicious Outsider","Identity Theft",7.5
111,"Sally Beauty Supply LLC",02/15/14,282000,"United States","Retail","Malicious Outsider","Financial Access",7.5
112,"Sutherland Healthcare Solutions, Department of Health Services and Department of Public Health,city of hope",02/05/14,220000,"United States","Healthcare","Malicious Outsider","Identity Theft",7.5
113,"Walgreen",11/06/14,160000,"United States","Healthcare","Malicious Outsider","Identity Theft",7.4
114,"Leumi Card",11/01/14,2000000,"Israel","Financial","Malicious Insider","Identity Theft",7.4
115,"StatusHunter",07/12/14,550382,"Israel","Technology","State Sponsored","Nuisance",7.4
116,"IRS",07/07/14,1400000,"United States","Government","Accidental Loss","Identity Theft",7.4
117,"Eircom",04/30/14,350000,"Ireland","Technology","Malicious Outsider","Account Access",7.4
118,"Cannabis",02/07/14,227000,"United States","Other","Malicious Outsider","Existential Data",7.4
119,"Los Angeles County health contractor's office",02/06/14,342500,"United States","Healthcare","Malicious Outsider","Identity Theft",7.4
120,"Virginia Polytechnic Institute and State University",08/28/13,145000,"United States","Other","Malicious Outsider","Identity Theft",7.4
121,"Monterey County Department of Social Services",03/17/13,144493,"United States","Government","Malicious Outsider","Identity Theft",7.4
122,"Northwest Florida State College",02/28/13,300000,"United States","Other","Malicious Outsider","Identity Theft",7.4
123,"Morgan Stanley",01/05/15,350000,"United States","Financial","Malicious Insider","Identity Theft",7.3
124,"Xiaomi Mi Account",10/29/14,2000000,"China","Technology","Accidental Loss","Account Access",7.3
125,"Israeli websites",07/08/14,1000000,"Israel","Other","Hacktivist","Nuisance",7.3
126,"Boleto",07/04/14,275730,"Brazil","Financial","Malicious Outsider","Account Access",7.3
127,"IDFSpokesperson",07/03/14,375000,"Israel","Government","State Sponsored","Nuisance",7.3
128,"Economic Affairs and the Interior Ministry",07/02/14,900000,"Denmark","Government","Accidental Loss","Identity Theft",7.3
129,"Prodigy",08/01/13,2000000,"Mexico","Technology","Accidental Loss","Account Access",7.3
130,"Scribd Inc",03/13/13,500000,"United States","Technology","Malicious Outsider","Account Access",7.3
131,"Sheriff's Office in Dickson County",11/14/14,72000,"United States","Government","Malicious Outsider","Existential Data",7.2
132,"Snapchat",10/10/14,200000,"United States","Technology","Malicious Outsider","Identity Theft",7.2
133,"Boxee.tv",03/23/14,172000,"United States","Other","Malicious Outsider","Existential Data",7.2
134,"Archdiocese of Seattle",03/13/14,90000,"United States","Other","Malicious Outsider","Identity Theft",7.2
135,"Vodafone Iceland",11/30/13,77000,"Iceland","Technology","Malicious Outsider","Existential Data",7.2
136,"UW Medicine, Harborview Medical Center, University of Washington Medical",10/02/13,90000,"United States","Healthcare","Malicious Outsider","Identity Theft",7.2
137,"United States Department of Energy",07/22/13,104179,"United States","Government","Malicious Outsider","Identity Theft",7.2
138,"Parsippany police",03/29/13,960000,"United States","Government","Malicious Insider","Existential Data",7.2
139,"Nuclear Reactor Data",12/17/14,100000,"South Korea","Government","State Sponsored","Existential Data",7.1
140,"North Carolina dermatology center",09/25/14,76258,"United States","Healthcare","Malicious Outsider","Identity Theft",7.1
141,"Postdocjobs.com",08/16/14,164317,"United States","Other","Malicious Outsider","Account Access",7.1
142,"UPS",08/11/14,105000,"United States","Retail","Malicious Outsider","Financial Access",7.1
143,"Pokemon Creed",08/03/14,116000,"Unknown","Other","Malicious Outsider","Existential Data",7.1
144,"TotalBank",06/24/14,72500,"United States","Financial","Malicious Outsider","Identity Theft",7.1
145,"NRAD Medical Associates",04/25/14,97000,"United States","Healthcare","Malicious Insider","Identity Theft",7.1
146,"Panasonic Corporation",04/24/14,78361,"Japan","Retail","Malicious Outsider","Identity Theft",7.1
147,"Shinhan, Kookmin, NongHyup, Kwangju Bank",04/11/14,100000,"South Korea","Financial","Malicious Outsider","Financial Access",7.1
148,"Ariba",04/02/14,70000,"United States","Technology","Malicious Outsider","Existential Data",7.1
149,"Amerigroup",01/30/14,74082,"United States","Healthcare","Malicious Outsider","Identity Theft",7.1
150,"Coca-Cola",01/24/14,74000,"United States","Retail","Malicious Outsider","Identity Theft",7.1
151,"bitcointalk.org",09/30/13,150000,"Germany","Financial","Malicious Outsider","Account Access",7.1
152,"Citigroup",06/27/13,150000,"United States","Financial","Malicious Outsider","Identity Theft",7.1
153,"Walla",04/05/13,600000,"Israel","Other","Hacktivist","Account Access",7.1
154,"General Services Administration",02/13/13,700000,"United States","Government","Accidental Loss","Identity Theft",7.1
155,"Scout Association's",01/23/15,450000,"United Kingdom","Other","Accidental Loss","Identity Theft",7
156,"Dongle (Snapshot)",01/21/15,2000000,"United States","Technology","Accidental Loss","Existential Data",7
157,"China Railway Corporation",12/25/14,140000,"China","Government","Malicious Outsider","Account Access",7
158,"Bot of Legends, League of Legends",11/15/14,130000,"United States","Retail","Malicious Outsider","Identity Theft",7
159,"Sentara Healthcare",11/14/14,56820,"United States","Healthcare","Malicious Outsider","Identity Theft",7
160,"Jailbroken Apple iPhones and iPads",08/25/14,75000,"United States","Technology","Malicious Outsider","Financial Access",7
161,"Aventura Hospital (Valesco Ventures)",06/09/14,82601,"United States","Healthcare","Malicious Insider","Identity Theft",7
162,"Soloha construction",05/01/14,100000,"Vietnam","Other","Malicious Insider","Financial Access",7
163,"U.S. and foreign computers",04/18/14,234000,"United States","Other","Malicious Outsider","Nuisance",7
164,"Onsite Health Diagnostics, Healthways",04/11/14,60582,"United States","Government","Malicious Outsider","Identity Theft",7
165,"Morrisons supermarket",03/14/14,100000,"United Kingdom","Retail","Malicious Insider","Financial Access",7
166,"EC-Council",02/23/14,66000,"United States","Technology","Malicious Outsider","Identity Theft",7
167,"Tennessee's health screenings",01/04/14,60582,"United States","Healthcare","Malicious Outsider","Identity Theft",7
168,"The L.A. Gay and Lesbian Community Services Center (LAGLCSC)",11/22/13,59000,"United States","Healthcare","Malicious Outsider","Identity Theft",7
169,"Nintendo",06/14/13,239326,"Japan","Technology","Malicious Outsider","Account Access",7
170,"Kirkwood Community College",03/13/13,125000,"United States","Other","Malicious Outsider","Identity Theft",7
171,"Twitter",02/13/13,250000,"United States","Technology","Malicious Outsider","Account Access",7
172,"Visionworks",10/17/14,47683,"United States","Healthcare","Malicious Outsider","Identity Theft",6.9
173,"Nissan Motor Co's",08/30/14,47800,"Japan","Retail","Malicious Outsider","Identity Theft",6.9
174,"Brent residents",08/26/14,47000,"United Kingdom","Retail","Malicious Outsider","Identity Theft",6.9
175,"Cape May-Lewes Ferry's terminals and vessels",08/07/14,60000,"United States","Other","Malicious Outsider","Financial Access",6.9
176,"Mozilla",08/04/14,97000,"United States","Technology","Malicious Outsider","Account Access",6.9
177,"AECOM",06/02/14,52660,"United States","Technology","Malicious Outsider","Identity Theft",6.9
178,"Arkansas Department of Human Services",05/30/14,50000,"United States","Government","Malicious Outsider","Identity Theft",6.9
179,"U.S. Veterans of Foreign Wars",03/04/14,55000,"United States","Government","Malicious Outsider","Identity Theft",6.9
180,"Iowa State University",02/03/14,48729,"United States","Healthcare","Malicious Outsider","Identity Theft",6.9
181,"Maglan",08/28/13,165000,"Israel","Technology","State Sponsored","Account Access",6.9
182,"League of Legends",07/23/13,120000,"United Kingdom","Technology","Malicious Outsider","Financial Access",6.9
183,"U.S. troops stationed",06/08/13,100000,"South Korea","Government","Malicious Outsider","Identity Theft",6.9
184,"Morningstar",06/04/13,182000,"United States","Financial","Malicious Outsider","Account Access",6.9
185,"Goo",03/13/13,100000,"Japan","Technology","Malicious Outsider","Identity Theft",6.9
186,"Crescent Healthcare",02/13/13,109000,"United States","Healthcare","Malicious Outsider","Identity Theft",6.9
187,"University of Hawaii, Cornell University",01/07/15,65000,"United States","Education","Malicious Outsider","Existential Data",6.8
188,"Azerbaijan Government Website",11/25/14,35000,"Azerbaijan","Government","Malicious Outsider","Existential Data",6.8
189,"Arizona State Retirement",10/27/14,44000,"United States","Government","Malicious Outsider","Identity Theft",6.8
190,"Freenode IRC",09/15/14,80000,"United Kingdom","Technology","Malicious Outsider","Account Access",6.8
191,"Zerem",08/04/14,70000,"Israel","Other","State Sponsored","Identity Theft",6.8
192,"Mozilla Foundation",08/01/14,80000,"United States","Technology","Malicious Outsider","Account Access",6.8
193,"Solutions LLC (Bayview Risk Management Capital and Bayview Commercial Recovery)",07/16/14,100000,"United States","Financial","Malicious Insider","Identity Theft",6.8
194,"Orthopaedic Specialty Institute Medical Group, Iron Mountain Record Management",06/17/14,49000,"United States","Healthcare","Malicious Insider","Identity Theft",6.8
195,"Gingerbread Shed",02/15/14,50000,"United States","Other","Malicious Outsider","Financial Access",6.8
196,"Froedtert Health, Community Memorial Hospital, United Healthcare Services, Inc., Roper St. Francis Healthcare",02/11/14,43000,"United States","Healthcare","Malicious Outsider","Identity Theft",6.8
197,"Assisted Living Concepts, LLC",01/14/14,43600,"United States","Other","Malicious Outsider","Identity Theft",6.8
198,"WPT Amateur Poker League",01/09/14,175333,"United Kingdom","Other","Malicious Outsider","Account Access",6.8
199,"MMMOOO",01/06/14,85753,"United States","Technology","Malicious Outsider","Account Access",6.8
200,"MMMOOO",01/01/14,86432,"United States","Retail","Malicious Outsider","Account Access",6.8
201,"Methodist Dallas Medical Center",08/01/13,44000,"United States","Healthcare","Malicious Outsider","Identity Theft",6.8
202,"Republic Services",07/26/13,82160,"United States","Other","Malicious Outsider","Identity Theft",6.8
203,"University of Delaware",07/08/13,72000,"United States","Other","Malicious Outsider","Identity Theft",6.8
204,"Aadhaar",03/28/13,300000,"India","Government","Accidental Loss","Identity Theft",6.8
205,"Central Hadson Gas And Electric",03/13/13,110000,"United States","Other","Malicious Outsider","Financial Access",6.8
206,"Froedtert Health",02/13/13,43000,"United States","Healthcare","Malicious Outsider","Identity Theft",6.8
207,"Jeb Bush's Political Action Committee",02/11/15,275000,"United States","Other","Accidental Loss","Identity Theft",6.7
208,"Boston Baskin Cancer Foundation",12/03/14,56694,"United States","Healthcare","Malicious Outsider","Identity Theft",6.7
209,"Staffordshire University",10/13/14,125000,"United Kingdom","Education","Malicious Outsider","Account Access",6.7
210,"Yandy",08/18/14,44724,"United States","Retail","Malicious Outsider","Financial Access",6.7
211,"Reeve-Woods Eye Center",08/17/14,30000,"United States","Healthcare","Malicious Outsider","Identity Theft",6.7
212,"The Office of Personnel Management (KeyPoint Government Solutions)",07/15/14,48439,"United States","Government","State Sponsored","Identity Theft",6.7
213,"Care All Management, LLC",07/07/14,28300,"United States","Healthcare","Malicious Outsider","Identity Theft",6.7
214,"Central Utah Clinic",06/09/14,31667,"United States","Healthcare","Malicious Outsider","Identity Theft",6.7
215,"Bartell Hotels",05/14/14,45000,"United States","Other","Malicious Outsider","Financial Access",6.7
216,"American Express",03/25/14,76608,"United States","Financial","Malicious Outsider","Financial Access",6.7
217,"Spirol",02/09/14,70000,"United States","Technology","Malicious Outsider","Identity Theft",6.7
218,"Linux distro openSUSE's public forums",01/08/14,70000,"United States","Technology","Malicious Outsider","Account Access",6.7
219,"Scottsdale Dermatology Clinic",10/08/13,46000,"United States","Healthcare","Malicious Outsider","Financial Access",6.7
220,"City of Wichita",09/17/13,29000,"United States","Government","Malicious Outsider","Identity Theft",6.7
221,"Ferris State University",07/22/13,58000,"United States","Other","Malicious Outsider","Identity Theft",6.7
222,"Vendini, Inc",04/29/13,43000,"United States","Other","Malicious Outsider","Financial Access",6.7
223,"Yahoo Japan",03/13/13,1270000,"Japan","Technology","Malicious Outsider","Nuisance",6.7
224,"Arkansas State University-Beebe",10/21/14,50000,"United States","Education","Malicious Outsider","Identity Theft",6.6
225,"South Korean websites",09/16/14,20000,"South Korea","Technology","State Sponsored","Identity Theft",6.6
226,"Li",08/13/14,100000,"China","Technology","Malicious Outsider","Nuisance",6.6
227,"U.S. Investigations Services (USIS), U.S. Immigration, U.S. Customs and Border Protection units",08/11/14,25000,"United States","Government","Malicious Outsider","Identity Theft",6.6
228,"Insanelyi",07/20/14,104000,"United States","Technology","Malicious Outsider","Account Access",6.6
229,"Domino's Pizza",07/13/14,80000,"Israel","Retail","State Sponsored","Nuisance",6.6
230,"Windows PCs worldwide",07/08/14,30000,"Europe","Other","Malicious Outsider","Financial Access",6.6
231,"Splash Car Wash",06/23/14,30000,"United States","Other","Malicious Outsider","Financial Access",6.6
232,"U.S. Investigations Services (USIS), U.S. Immigration, U.S. Customs and Border Protection units",06/11/14,27000,"United States","Government","Malicious Outsider","Identity Theft",6.6
233,"Home Depot",05/21/14,36000,"United States","Retail","Malicious Insider","Identity Theft",6.6
234,"Fridae",05/08/14,25000,"Asia","Other","Malicious Outsider","Identity Theft",6.6
235,"Statista",03/09/14,50000,"United States","Other","Malicious Outsider","Account Access",6.6
236,"University of Pittsburgh Medical Center, UPMC McKeesport and Magee Womens Hospital of UPMC in Oakland",02/25/14,27000,"United States","Healthcare","Malicious Outsider","Identity Theft",6.6
237,"Union Labor Life Insurance Co",02/17/14,46771,"United States","Financial","Malicious Outsider","Identity Theft",6.6
238,"Barclays Bank PLC",02/08/14,27000,"United Kingdom","Financial","Malicious Outsider","Identity Theft",6.6
239,"Kaiser Permanente",12/23/13,49000,"United States","Healthcare","Malicious Outsider","Identity Theft",6.6
240,"PSW Registry",12/09/13,25000,"United States","Healthcare","Malicious Outsider","Identity Theft",6.6
241,"Ontario PSWs",12/09/13,25000,"Canada","Healthcare","Malicious Outsider","Identity Theft",6.6
242,"presidential website",06/13/13,100000,"South Korea","Government","Hacktivist","Identity Theft",6.6
243,"Michigan Department of Community Health, Michigan Cancer Consortium",06/13/13,50000,"United States","Healthcare","Malicious Outsider","Identity Theft",6.6
244,"Indiana Family and Social Services Administration",06/13/13,187533,"United States","Government","Accidental Loss","Identity Theft",6.6
245,"Cambridge",05/31/13,20000,"United Kingdom","Other","Malicious Outsider","Existential Data",6.6
246,"Bangladesh Air Force",05/15/13,110000,"Bangladesh","Government","Malicious Outsider","Account Access",6.6
247,"NewSeaSIMS",04/08/13,108377,"Japan","Technology","Malicious Outsider","Account Access",6.6
248,"Global credit",03/15/13,36000,"Belgium","Financial","Malicious Outsider","Financial Access",6.6
249,"University of Oregon",01/21/15,22000,"United States","Education","Malicious Outsider","Identity Theft",6.5
250,"Metropolitan State University",01/02/15,22000,"United States","Education","Malicious Outsider","Identity Theft",6.5
251,"Sony Pictures",11/25/14,47000,"United States","Other","Malicious Insider","Identity Theft",6.5
252,"Mac.BackDoor.iWorm",10/01/14,17000,"United States","Technology","Malicious Outsider","Existential Data",6.5
253,"Geekface (Hatchwise.com, eLogoContest )",08/05/14,18000,"United States","Technology","Malicious Outsider","Identity Theft",6.5
254,"Self Regional Healthcare (SRH)",05/28/14,38906,"United States","Healthcare","Malicious Outsider","Identity Theft",6.5
255,"Indiana University",02/23/14,145966,"United States","Education","Accidental Loss","Identity Theft",6.5
256,"StayWell (Missouri Consolidated Health, Clorox, University of Minnesota, Nissan North America, Qbe Holdings)",01/03/14,18600,"United States","Healthcare","Malicious Outsider","Identity Theft",6.5
257,"GitHub",11/20/13,40000,"United States","Technology","Malicious Outsider","Account Access",6.5
258,"Sony",06/24/13,41000,"Italy","Other","Malicious Outsider","Identity Theft",6.5
259,"Konami Digital Entertainment",06/19/13,35252,"United States","Technology","Malicious Outsider","Identity Theft",6.5
260,"Glasgow City Council",05/17/13,20143,"United Kingdom","Government","Malicious Outsider","Identity Theft",6.5
261,"TerraCom and YourTel America",04/15/13,150543,"United States","Other","Accidental Loss","Identity Theft",6.5
262,"Banque Cantonale de Geneve",01/02/15,30192,"Switzerland","Financial","Malicious Outsider","Account Access",6.4
263,"The provincial government (Wildfire Management Branch)",09/24/14,15000,"Canada","Government","Malicious Outsider","Identity Theft",6.4
264,"St Louis Recorder of Deeds and Vital Records Registrar",09/19/14,19000,"United States","Government","Malicious Insider","Identity Theft",6.4
265,"Redwood Regional Medical Group",06/11/14,33702,"United States","Healthcare","Malicious Outsider","Identity Theft",6.4
266,"United States Forces Korea",06/05/14,16000,"South Korea","Government","Malicious Outsider","Identity Theft",6.4
267,"America First Credit Union",05/28/14,20000,"United States","Financial","Malicious Outsider","Financial Access",6.4
268,"4chan's",04/21/14,12000,"United States","Technology","Malicious Outsider","Existential Data",6.4
269,"Kmart Corporation",04/05/14,16446,"United States","Retail","Malicious Outsider","Identity Theft",6.4
270,"University of Wisconsin - Parkside",03/15/14,15000,"United States","Education","Malicious Outsider","Identity Theft",6.4
